## Microarray analysis of entry into quiescence (normalised data),,,,,,,,,,,,,,,,
## T: time after Nitrogen removal,,,,,,,,,,,,,,,,
## Expression ratio are normalised to time point zero and corrected for total RNA amount per cell ,,,,,,,,,,,,,,,,
Systematic.name,T0,T0.5,T1,T2,T3,T4,T6,T9,T12,T16,T20,T24,T48,T72,T96,T168
SPAC18G6.03,1,1.189251,0.96037865,0.6451613,0.4852672,0.3261732,0.26993975,0.22006358,0.17773287,0.1710934,0.16468525,0.16294758,0.1377161,0.12121396,0.11397153,0.09522912
SPAC17G6.15c,1,0.564752,0.37675375,0.3035436,0.2804365,0.19781838,0.17435172,0.11750074,0.12640244,0.1242888,0.13873485,0.12757537,0.090572804,0.08301466,0.07274303,0.054931607
SPAC1002.15c,0.99999994,0.8666577,0.5814438,0.32687548,NA,0.28471395,0.18181807,NA,0.12594402,NA,0.15089686,0.11564751,0.08351409,NA,NA,NA
SPBC317.01,1,0.8295575,0.5631429,NA,0.3641095,0.3136244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPCC576.17c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPAC22E12.16c,1,0.7095649,0.5165504,0.33694878,0.27695528,0.1618184,0.17843464,0.15821631,0.122450516,0.115837745,0.12609692,0.12135499,0.097788565,0.09140389,0.08638222,0.08207676
SPBC1861.08c,1,0.54140997,0.4002235,0.34613577,0.29890332,0.17699157,0.21121705,0.1654538,0.14735763,0.1522705,0.16814993,0.17346224,0.2073904,0.20042478,0.20325181,0.15302719
SPBC19F8.01c,1,0.9644671,0.5150533,0.40591216,0.40851408,0.18756467,0.19690728,NA,0.1717518,0.15470329,0.15193501,0.14427564,0.19466053,0.19462876,0.161773,0.13734058
SPAPB1A11.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPAC19G12.02c,1,0.96561235,1.6646533,0.7193089,0.6103459,0.3620404,0.33417082,0.34245682,0.26926562,0.23071243,0.25221318,0.22596668,0.3267321,0.29890016,0.297819,0.25475797
SPAPB1A11.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPAPB1A11.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPAC18G6.10,1,0.8458567,0.61770606,0.4506992,0.48018682,0.2677932,0.28536758,0.2442761,0.19572414,0.15822199,0.20932078,0.17931235,0.17547224,0.20694573,0.20193201,0.16427638
SPBC365.07c,1,0.80985194,0.59940445,0.46223617,0.44878218,0.2905919,0.24184883,0.17315282,0.13773946,0.15084538,0.17238827,0.16654485,0.1664912,0.16481091,0.14365004,0.11149648
SPAC18G6.13,1,0.71451104,0.74955416,0.64169246,0.4549252,0.2733382,0.22508878,0.20012821,0.18912733,0.14438866,0.17612931,0.1862204,0.1074266,0.14406341,0.10166509,0.08992394
SPAC17G6.16c,1,0.8799759,0.68251485,0.38599637,0.27512494,0.17016624,0.13326798,NA,0.10067232,0.10418033,0.10421494,0.110313825,0.09753651,0.08641003,0.071307145,0.058287136
SPCC663.14c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPAC18G6.15,1,0.6957993,0.43836164,0.22395447,0.16883516,0.09178354,0.07033323,0.07479038,0.0580292,0.04207512,0.06197339,0.050410695,0.043910135,0.048115995,0.031182043,0.03161334
SPAC2E1P3.03c,0.99999994,1.1606505,8.035184,0.8762838,0.5618693,0.32053643,0.2996749,0.24691184,0.2636319,0.28995997,0.3429908,0.31916517,0.32322028,0.31371683,0.3573318,0.36572668
SPCC576.16c,1,1.109308,1.4695706,1.4368361,0.9382251,0.80094427,0.66300786,0.5826186,0.43498987,0.62599236,0.4828968,0.47276947,0.31637317,0.3081059,0.23529309,0.2775671
SPAC1002.12c,1,1.9831258,1.6807255,1.1779246,0.7833668,0.46889788,0.44426858,0.34705716,0.26679578,0.22307456,0.31679884,0.27732506,0.29482993,0.32021698,0.30141395,0.26287273
SPAC22E12.13c,0.99999994,0.23393147,0.18006462,0.11680769,0.121120594,0.087898344,0.1051551,0.09029796,0.078503266,0.073602624,0.08991258,0.08429056,0.07655522,0.06320842,0.0475223,0.047435384
SPAC17A5.02c,1,0.7031812,0.47927973,0.38130137,0.3314211,0.21742462,0.2203593,0.14674519,0.17533283,0.16125415,0.1884974,0.16616017,0.16981168,0.14248705,0.12942618,0.1293046
SPBC405.03c,1,0.8511232,0.638824,0.33871618,0.26737505,0.14730752,NA,0.12630162,0.109714635,NA,NA,0.10024214,0.10826301,0.10443426,0.098956205,0.12683544
SPAC19G12.01c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPBC365.04c,1,0.35192862,0.25850075,0.20120755,0.2180822,0.1477837,0.20843145,0.17511424,0.16139951,0.15504242,0.17840621,0.1872721,0.20589364,0.17188264,0.14517027,0.10555023
SPCC736.10c,1,0.5025555,0.4148581,0.24703844,0.20291789,0.12756856,0.103019506,0.072223485,0.06796344,0.059910987,0.0790155,0.06414229,0.047207966,0.04949333,0.031988602,0.03955931
SPAC1002.13c,1,0.26162606,0.34884185,0.18539928,0.12332599,0.10224,0.08272507,0.053944703,0.05517814,0.05738167,0.06502369,0.057276264,0.036739357,0.039140902,0.037158083,0.030424504
SPAC22E12.14c,1,0.76308835,0.5143417,0.4912968,0.40855065,0.31380326,0.28473657,0.19925527,0.23058745,0.21748099,0.2038128,0.20347053,0.11325866,0.12825423,0.094527155,0.097122535
